Date & Time,Temperature (°F)
"1/8/21, 4:56:41 PM",125
"1/8/21, 4:56:43 PM",126
"1/8/21, 4:56:45 PM",127
"1/8/21, 4:56:46 PM",128
"1/8/21, 4:56:48 PM",129
"1/8/21, 4:56:50 PM",130
"1/8/21, 4:56:52 PM",131
"1/8/21, 4:56:54 PM",132
"1/8/21, 4:56:57 PM",133
"1/8/21, 4:56:58 PM",134
"1/8/21, 4:57:00 PM",135
"1/8/21, 4:57:02 PM",136
"1/8/21, 4:57:04 PM",137
"1/8/21, 4:57:05 PM",138
"1/8/21, 4:57:07 PM",139
"1/8/21, 4:57:09 PM",140
"1/8/21, 4:57:11 PM",141
"1/8/21, 4:57:14 PM",142
"1/8/21, 4:57:16 PM",143
"1/8/21, 4:57:18 PM",144
"1/8/21, 4:57:19 PM",145
"1/8/21, 4:57:22 PM",145
"1/8/21, 4:57:22 PM",146
"1/8/21, 4:57:24 PM",147
"1/8/21, 4:57:26 PM",148
"1/8/21, 4:57:29 PM",149
"1/8/21, 4:57:31 PM",150
"1/8/21, 4:57:33 PM",151
"1/8/21, 4:57:35 PM",152
"1/8/21, 4:57:37 PM",153
"1/8/21, 4:57:39 PM",154
"1/8/21, 4:57:41 PM",155
"1/8/21, 4:57:43 PM",156
"1/8/21, 4:57:46 PM",157
"1/8/21, 4:57:49 PM",157
"1/8/21, 4:57:49 PM",158
"1/8/21, 4:57:51 PM",159
"1/8/21, 4:57:53 PM",160
"1/8/21, 4:57:55 PM",161
"1/8/21, 4:57:57 PM",162
"1/8/21, 4:58:00 PM",162
"1/8/21, 4:58:00 PM",163
"1/8/21, 4:58:02 PM",164
"1/8/21, 4:58:05 PM",165
"1/8/21, 4:58:07 PM",166
"1/8/21, 4:58:10 PM",166
"1/8/21, 4:58:10 PM",167
"1/8/21, 4:58:12 PM",168
"1/8/21, 4:58:14 PM",169
"1/8/21, 4:58:17 PM",169
"1/8/21, 4:58:17 PM",170
"1/8/21, 4:58:19 PM",171
"1/8/21, 4:58:22 PM",172
"1/8/21, 4:58:24 PM",173
"1/8/21, 4:58:26 PM",174
"1/8/21, 4:58:28 PM",175
"1/8/21, 4:58:30 PM",176
"1/8/21, 4:58:32 PM",177
"1/8/21, 4:58:35 PM",177
"1/8/21, 4:58:35 PM",178
"1/8/21, 4:58:37 PM",179
"1/8/21, 4:58:40 PM",179
"1/8/21, 4:58:41 PM",180
"1/8/21, 4:58:43 PM",181
"1/8/21, 4:58:46 PM",181
"1/8/21, 4:58:46 PM",182
"1/8/21, 4:58:48 PM",183
"1/8/21, 4:58:50 PM",184
"1/8/21, 4:58:52 PM",185
"1/8/21, 4:58:55 PM",185
"1/8/21, 4:58:55 PM",186
"1/8/21, 4:58:57 PM",187
"1/8/21, 4:59:00 PM",187
"1/8/21, 4:59:01 PM",188
"1/8/21, 4:59:03 PM",189
"1/8/21, 4:59:06 PM",189
"1/8/21, 4:59:06 PM",190
"1/8/21, 4:59:08 PM",191
"1/8/21, 4:59:10 PM",192
"1/8/21, 4:59:12 PM",193
"1/8/21, 4:59:15 PM",193
"1/8/21, 4:59:16 PM",194
"1/8/21, 4:59:18 PM",195
"1/8/21, 4:59:21 PM",195
"1/8/21, 4:59:21 PM",196
"1/8/21, 4:59:23 PM",197
"1/8/21, 4:59:26 PM",197
"1/8/21, 4:59:26 PM",198
"1/8/21, 4:59:28 PM",199
"1/8/21, 4:59:31 PM",199
"1/8/21, 4:59:31 PM",200
"1/8/21, 4:59:33 PM",201
"1/8/21, 4:59:36 PM",201
"1/8/21, 4:59:38 PM",202
"1/8/21, 4:59:40 PM",203
"1/8/21, 4:59:43 PM",203
"1/8/21, 4:59:43 PM",204
"1/8/21, 4:59:45 PM",205
"1/8/21, 4:59:48 PM",205
"1/8/21, 4:59:48 PM",206
"1/8/21, 4:59:50 PM",207
"1/8/21, 4:59:52 PM",208
"1/8/21, 4:59:55 PM",209
"1/8/21, 4:59:57 PM",210
"1/8/21, 4:59:59 PM",211
"1/8/21, 5:00:02 PM",211
"1/8/21, 5:00:02 PM",212
"1/8/21, 5:00:05 PM",212
"1/8/21, 5:00:05 PM",213
"1/8/21, 5:00:07 PM",214
"1/8/21, 5:00:10 PM",215
"1/8/21, 5:00:12 PM",216
"1/8/21, 5:00:14 PM",217
"1/8/21, 5:00:17 PM",217
"1/8/21, 5:00:17 PM",218
"1/8/21, 5:00:20 PM",218
"1/8/21, 5:00:20 PM",219
"1/8/21, 5:00:22 PM",220
"1/8/21, 5:00:24 PM",221
"1/8/21, 5:00:27 PM",221
"1/8/21, 5:00:28 PM",222
"1/8/21, 5:00:30 PM",223
"1/8/21, 5:00:32 PM",224
"1/8/21, 5:00:35 PM",224
"1/8/21, 5:00:35 PM",225
"1/8/21, 5:00:37 PM",226
"1/8/21, 5:00:40 PM",226
"1/8/21, 5:00:40 PM",227
"1/8/21, 5:00:42 PM",228
"1/8/21, 5:00:45 PM",229
"1/8/21, 5:00:47 PM",230
"1/8/21, 5:00:50 PM",230
"1/8/21, 5:00:50 PM",231
"1/8/21, 5:00:53 PM",231
"1/8/21, 5:00:53 PM",232
"1/8/21, 5:00:55 PM",233
"1/8/21, 5:00:57 PM",234
"1/8/21, 5:01:00 PM",234
"1/8/21, 5:01:00 PM",235
"1/8/21, 5:01:03 PM",236
"1/8/21, 5:01:05 PM",237
"1/8/21, 5:01:07 PM",238
"1/8/21, 5:01:09 PM",239
"1/8/21, 5:01:12 PM",239
"1/8/21, 5:01:12 PM",240
"1/8/21, 5:01:14 PM",241
"1/8/21, 5:01:17 PM",241
"1/8/21, 5:01:17 PM",242
"1/8/21, 5:01:19 PM",243
"1/8/21, 5:01:22 PM",243
"1/8/21, 5:01:22 PM",244
"1/8/21, 5:01:24 PM",245
"1/8/21, 5:01:26 PM",246
"1/8/21, 5:01:28 PM",247
"1/8/21, 5:01:31 PM",247
"1/8/21, 5:01:31 PM",248
"1/8/21, 5:01:34 PM",249
"1/8/21, 5:01:36 PM",250
"1/8/21, 5:01:38 PM",251
"1/8/21, 5:01:41 PM",251
"1/8/21, 5:01:41 PM",252
"1/8/21, 5:01:43 PM",253
"1/8/21, 5:01:45 PM",254
"1/8/21, 5:01:47 PM",255
"1/8/21, 5:01:50 PM",255
"1/8/21, 5:01:50 PM",256
"1/8/21, 5:01:52 PM",257
"1/8/21, 5:01:55 PM",258
"1/8/21, 5:01:57 PM",259
"1/8/21, 5:02:00 PM",259
"1/8/21, 5:02:00 PM",260
"1/8/21, 5:02:03 PM",260
"1/8/21, 5:02:03 PM",261
"1/8/21, 5:02:05 PM",262
"1/8/21, 5:02:07 PM",263
"1/8/21, 5:02:09 PM",264
"1/8/21, 5:02:11 PM",265
"1/8/21, 5:02:14 PM",266
"1/8/21, 5:02:16 PM",267
"1/8/21, 5:02:17 PM",268
"1/8/21, 5:02:20 PM",268
"1/8/21, 5:02:20 PM",269
"1/8/21, 5:02:22 PM",270
"1/8/21, 5:02:24 PM",271
